Kids_First_Biospecimen_ID	count_regions_high_conf	count_regions_low_conf	any_high_conf	any_low_conf
BS_007JTNB8	0	0	FALSE	FALSE
BS_01DQH017	0	0	FALSE	FALSE
BS_01Y5F4PN	0	0	FALSE	FALSE
BS_02W5H7K5	0	0	FALSE	FALSE
BS_02YBZSBY	0	0	FALSE	FALSE
BS_03SSN1N2	0	0	FALSE	FALSE
BS_042DVDQM	0	0	FALSE	FALSE
BS_04B8X54S	0	0	FALSE	FALSE
BS_05S9WJW6	0	0	FALSE	FALSE
BS_06GEF6DB	0	0	FALSE	FALSE
BS_06GPPDHZ	0	0	FALSE	FALSE
BS_090GV72Q	0	0	FALSE	FALSE
BS_0DKPGQWD	0	0	FALSE	FALSE
BS_0EN5R1AP	1	1	TRUE	TRUE
BS_0FQKT8EY	0	0	FALSE	FALSE
BS_0J5GC803	2	3	TRUE	TRUE
BS_0J5MCBZV	0	0	FALSE	FALSE
BS_0Q8G4N8H	0	0	FALSE	FALSE
BS_0QEBZX3M	0	0	FALSE	FALSE
BS_0RF0G9SQ	0	0	FALSE	FALSE
BS_0S617SMM	1	1	TRUE	TRUE
BS_0SFXXBQ5	0	0	FALSE	FALSE
BS_0W8AWY10	0	0	FALSE	FALSE
BS_0XD58YD9	0	0	FALSE	FALSE
BS_0XR7GYAV	0	0	FALSE	FALSE
BS_0YVR8Q4E	0	0	FALSE	FALSE
BS_0ZR4XA69	0	0	FALSE	FALSE
BS_10AD3EFX	0	0	FALSE	FALSE
BS_10HD18B8	1	1	TRUE	TRUE
BS_11322HD1	0	0	FALSE	FALSE
BS_12ZB7R6A	1	1	TRUE	TRUE
BS_154FP4ZQ	0	0	FALSE	FALSE
BS_164KRQJ0	0	0	FALSE	FALSE
BS_16TBX6G5	1	1	TRUE	TRUE
BS_17AXPP1Y	0	0	FALSE	FALSE
BS_17FVWMNV	0	0	FALSE	FALSE
BS_185Q218S	0	0	FALSE	FALSE
BS_18NCV5QZ	0	0	FALSE	FALSE
BS_19EJ85F8	0	0	FALSE	FALSE
BS_1AZ8YJSH	2	2	TRUE	TRUE
BS_1B4Q7CNG	0	0	FALSE	FALSE
BS_1C4WCNQF	0	0	FALSE	FALSE
BS_1EQGGHHQ	0	0	FALSE	FALSE
BS_1EYKDS0Z	0	0	FALSE	FALSE
BS_1GK2EMFY	0	0	FALSE	FALSE
BS_1JMTTKMK	1	3	TRUE	TRUE
BS_1MME7FBS	0	0	FALSE	FALSE
BS_1RF75MK2	0	0	FALSE	FALSE
BS_1S2BHJ8K	0	0	FALSE	FALSE
BS_1S5V7WWC	1	2	TRUE	TRUE
BS_1VMBA3BN	0	0	FALSE	FALSE
BS_1YTHM07J	0	0	FALSE	FALSE
BS_20TBZG09	0	0	FALSE	FALSE
BS_20X874J5	0	0	FALSE	FALSE
BS_230S192D	0	0	FALSE	FALSE
BS_235QEYMQ	0	0	FALSE	FALSE
BS_23ZE42Q3	1	2	TRUE	TRUE
BS_245CTSH9	0	0	FALSE	FALSE
BS_25VZM81R	0	1	FALSE	TRUE
BS_2AWCKNB3	1	1	TRUE	TRUE
BS_2CD1XWVP	0	0	FALSE	FALSE
BS_2CQ6K2JW	0	0	FALSE	FALSE
BS_2E81A3FT	0	0	FALSE	FALSE
BS_2F70R10Z	0	0	FALSE	FALSE
BS_2HNHCSNB	0	0	FALSE	FALSE
BS_2J4FG4HV	1	3	TRUE	TRUE
BS_2JDVY4F7	2	2	TRUE	TRUE
BS_2NN6ME5A	1	1	TRUE	TRUE
BS_2P7MJGM7	0	1	FALSE	TRUE
BS_2RJN5Z4W	0	0	FALSE	FALSE
BS_2SG8JNMB	0	0	FALSE	FALSE
BS_2VB8649B	0	0	FALSE	FALSE
BS_2VHFP7M8	0	0	FALSE	FALSE
BS_2VSN5YC5	1	1	TRUE	TRUE
BS_2W200YK5	1	1	TRUE	TRUE
BS_2Z9JQDPV	0	0	FALSE	FALSE
BS_30W38X77	0	0	FALSE	FALSE
BS_3108RS7G	0	0	FALSE	FALSE
BS_32HAVF6S	0	0	FALSE	FALSE
BS_32VQRFDS	0	0	FALSE	FALSE
BS_354DTKHE	0	0	FALSE	FALSE
BS_36HCZ3KW	3	5	TRUE	TRUE
BS_376Q9QKG	0	0	FALSE	FALSE
BS_39Q80NT3	0	0	FALSE	FALSE
BS_3A0CJMRH	0	0	FALSE	FALSE
BS_3AERRZQT	0	0	FALSE	FALSE
BS_3BMGF6GN	1	3	TRUE	TRUE
BS_3C4YAMKJ	0	0	FALSE	FALSE
BS_3DYRAZE7	0	0	FALSE	FALSE
BS_3E5C1PN1	0	0	FALSE	FALSE
BS_3J4T2YYW	0	0	FALSE	FALSE
BS_3JE2T7AR	1	1	TRUE	TRUE
BS_3NX3RBCX	2	3	TRUE	TRUE
BS_3P96RT4E	0	0	FALSE	FALSE
BS_3QDRWJCF	0	0	FALSE	FALSE
