Kids_First_Biospecimen_ID	count_regions_all_conf	count_regions_high_conf	count_regions_low_conf	any_regions_all_conf	any_regions_high_conf	any_regions_low_conf	any_regions_merged
BS_007JTNB8	0	0	0	FALSE	FALSE	FALSE	No Calls
BS_01DQH017	0	0	0	FALSE	FALSE	FALSE	No Calls
BS_01Y5F4PN	0	0	0	FALSE	FALSE	FALSE	No Calls
BS_02W5H7K5	0	0	0	FALSE	FALSE	FALSE	No Calls
BS_02YBZSBY	0	0	0	FALSE	FALSE	FALSE	No Calls
BS_03SSN1N2	0	0	0	FALSE	FALSE	FALSE	No Calls
BS_042DVDQM	0	0	0	FALSE	FALSE	FALSE	No Calls
BS_04B8X54S	0	0	0	FALSE	FALSE	FALSE	No Calls
BS_05S9WJW6	0	0	0	FALSE	FALSE	FALSE	No Calls
BS_06GEF6DB	0	0	0	FALSE	FALSE	FALSE	No Calls
BS_06GPPDHZ	0	0	0	FALSE	FALSE	FALSE	No Calls
BS_090GV72Q	0	0	0	FALSE	FALSE	FALSE	No Calls
BS_0DKPGQWD	0	0	0	FALSE	FALSE	FALSE	No Calls
BS_0EN5R1AP	1	1	0	TRUE	TRUE	FALSE	High Confidence
BS_0FQKT8EY	0	0	0	FALSE	FALSE	FALSE	No Calls
BS_0J5GC803	3	2	1	TRUE	TRUE	TRUE	High Confidence
BS_0J5MCBZV	0	0	0	FALSE	FALSE	FALSE	No Calls
BS_0Q8G4N8H	0	0	0	FALSE	FALSE	FALSE	No Calls
BS_0QEBZX3M	0	0	0	FALSE	FALSE	FALSE	No Calls
BS_0RF0G9SQ	0	0	0	FALSE	FALSE	FALSE	No Calls
BS_0S617SMM	1	1	0	TRUE	TRUE	FALSE	High Confidence
BS_0SFXXBQ5	0	0	0	FALSE	FALSE	FALSE	No Calls
BS_0W8AWY10	0	0	0	FALSE	FALSE	FALSE	No Calls
BS_0XD58YD9	0	0	0	FALSE	FALSE	FALSE	No Calls
BS_0XR7GYAV	0	0	0	FALSE	FALSE	FALSE	No Calls
BS_0YVR8Q4E	0	0	0	FALSE	FALSE	FALSE	No Calls
BS_0ZR4XA69	0	0	0	FALSE	FALSE	FALSE	No Calls
BS_10AD3EFX	0	0	0	FALSE	FALSE	FALSE	No Calls
BS_10HD18B8	1	1	0	TRUE	TRUE	FALSE	High Confidence
BS_11322HD1	0	0	0	FALSE	FALSE	FALSE	No Calls
BS_12ZB7R6A	1	1	0	TRUE	TRUE	FALSE	High Confidence
BS_154FP4ZQ	0	0	0	FALSE	FALSE	FALSE	No Calls
BS_164KRQJ0	0	0	0	FALSE	FALSE	FALSE	No Calls
BS_16TBX6G5	1	1	0	TRUE	TRUE	FALSE	High Confidence
BS_17AXPP1Y	0	0	0	FALSE	FALSE	FALSE	No Calls
BS_17FVWMNV	0	0	0	FALSE	FALSE	FALSE	No Calls
BS_185Q218S	0	0	0	FALSE	FALSE	FALSE	No Calls
BS_18NCV5QZ	0	0	0	FALSE	FALSE	FALSE	No Calls
BS_19EJ85F8	0	0	0	FALSE	FALSE	FALSE	No Calls
BS_1AZ8YJSH	2	2	0	TRUE	TRUE	FALSE	High Confidence
BS_1B4Q7CNG	0	0	0	FALSE	FALSE	FALSE	No Calls
BS_1C4WCNQF	0	0	0	FALSE	FALSE	FALSE	No Calls
BS_1EQGGHHQ	0	0	0	FALSE	FALSE	FALSE	No Calls
BS_1EYKDS0Z	0	0	0	FALSE	FALSE	FALSE	No Calls
BS_1GK2EMFY	0	0	0	FALSE	FALSE	FALSE	No Calls
BS_1JMTTKMK	3	1	2	TRUE	TRUE	TRUE	High Confidence
