chrom	start	end	number_DEL	number_DUP	number_h2hINV	number_t2tINV	number_TRA	clusterSize_including_TRA	number_SVs_sample	number_CNV_segments	pval_fragment_joins	chr_breakpoint_enrichment	pval_exp_chr	pval_exp_cluster	max_number_oscillating_CN_segments_2_states	max_number_oscillating_CN_segments_3_states	number_CN_segments_chr	max_number_oscillating_CN_segments_2_states_chr	max_number_oscillating_CN_segments_3_states_chr	inter_number_DEL	inter_number_h2hINV	inter_number_t2tINV	inter_number_DUP	inter_pval_fragment_joins	inter_other_chroms	inter_other_chroms_coords_all	Kids_First_Biospecimen_ID	fdr_fragment_joins	fdr_chr_breakpoint_enrichment	fdr_exp_cluster	call_high_conf	call_low_conf
1	8900398	202814551	3	1	1	1	3	9	102	13	0.549668182603777	0.000485236349522237	NA	3.50467748957417e-05	11	11	15	13	13	0	0	0	0	NA		 	BS_K07KNTFY	0.619631498714411	0.00477574722950833	4.55490071035566e-05	1	1
2	25918062	219191463	4	1	0	1	8	14	102	13	0.462520518296266	2.47740670914175e-09	2.44505246937976e-07	2.22044604925031e-16	9	11	13	9	13	0	0	0	0	NA		 	BS_K07KNTFY	0.613641692158945	8.27276883231262e-08	6.04802946076043e-16	1	1
3	47767424	196809416	4	0	0	0	1	5	102	2	0.035110115675981	0.0700882072292549	NA	2.04287702310069e-08	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	0.17576277261638	3.24477623001313e-08	0	0
4	25328655	25329151	1	0	0	0	0	1	102	1	0.391625176271089	NA	NA	NA	NA	NA	4	4	4	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	NA	NA	0	0
5	692927	784280	1	0	0	0	0	1	102	1	0.391625176271089	0.668720450908864	NA	NA	NA	NA	6	6	6	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	0.738063840987673	NA	0	0
6	3156185	60660195	1	2	0	0	1	4	102	7	0.261464129949111	0.0600355585068951	NA	0.00538212459006726	5	5	5	5	5	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	0.160946672618286	0.00591880368024491	0	0
7	48861586	48910643	0	0	0	1	0	1	102	1	0.391625176271089	0.391713087857632	NA	NA	NA	NA	11	11	11	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	0.513304857993251	NA	0	0
8	1235464	22451386	3	0	1	0	1	5	102	6	0.283886130759827	0.0508957937000793	NA	0.108547005836764	2	2	6	2	2	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	0.147141778685864	0.111096215822325	0	0
9	70146716	129591701	2	0	0	0	0	2	102	1	0.111610225094713	1	NA	NA	NA	NA	12	12	12	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	1	NA	0	0
10	19707588	49803042	3	0	0	0	2	5	102	4	0.035110115675981	0.0050302983793779	NA	1.99840144432528e-15	2	2	4	4	4	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	0.0292972097754376	4.30940199726011e-15	0	0
11	54349635	54416005	0	3	0	0	0	3	102	2	0.0292908865348883	1	NA	0	NA	NA	5	5	5	0	0	0	0	NA		 	BS_K07KNTFY	0.506002598703909	1	0	0	0
12	15360699	123016521	4	0	0	0	2	6	102	2	0.0100534444728365	0.00219493128448362	NA	6.94985604220433e-05	NA	NA	3	1	3	0	0	0	0	NA		 	BS_K07KNTFY	0.2969930268085	0.0158617280324292	8.77090659786833e-05	0	0
13	48959282	48962405	1	0	0	0	0	1	102	1	0.391625176271089	0.0534239765928094	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	0.15044547449725	NA	0	0
14	105999391	106142448	1	1	0	0	0	2	102	1	0.572406704470879	0.550119070993054	NA	NA	NA	NA	4	4	4	0	0	0	0	NA		 	BS_K07KNTFY	0.619631498714411	0.637121218961809	NA	0	0
15	37307822	37404200	0	1	0	0	0	1	102	1	0.391625176271089	0.505001746593193	NA	NA	NA	NA	10	10	10	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	0.603153800711434	NA	0	0
16	15926692	24617198	2	0	0	0	0	2	102	5	0.111610225094713	NA	NA	NA	3	3	10	10	10	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	NA	NA	0	0
17	17324421	62545554	3	0	1	0	0	4	102	6	0.111610225094713	0.496360964971107	NA	9.32587340685131e-15	4	4	4	4	4	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	0.595584158857237	1.96403039324336e-14	0	0
18	NA	NA	0	0	0	0	0	0	102	NA	NA	0.492989826873968	NA	NA	NA	NA	2	2	2	0	0	0	0	NA		 	BS_K07KNTFY	NA	0.592826607207467	NA	0	0
19	53704839	54308469	2	1	1	1	0	5	102	1	0.896432373341912	0.0863077198768023	NA	0	NA	NA	2	1	1	0	0	0	0	NA		 	BS_K07KNTFY	0.908903051159523	0.198462038422726	0	0	0
20	35128135	35129156	1	0	0	0	0	1	102	1	0.391625176271089	0.100331337586557	NA	NA	NA	NA	2	1	2	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	0.220131301148845	NA	0	0
21	36187062	36187296	1	0	0	0	0	1	102	1	0.391625176271089	0.26502771442947	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	0.408854546036036	NA	0	0
22	22707732	22765972	1	0	0	0	0	1	102	2	0.391625176271089	0.00316714126928176	NA	NA	NA	NA	3	3	3	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	0.0209334432453071	NA	0	0
X	82726771	131840712	1	0	1	0	0	2	102	NA	0.572406704470879	1	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_K07KNTFY	0.619631498714411	1	NA	0	0
1	8900398	202814551	3	1	1	1	3	9	102	13	0.549668182603777	0.000485236349522237	NA	8.51203775303899e-05	11	11	15	13	13	0	0	0	0	NA		 	BS_K07KNTFY	0.619631498714411	0.00477574722950833	0.000106577970383278	1	1
2	25918062	219191463	4	1	0	1	8	14	102	13	0.462520518296266	2.47740670914175e-09	1.88539273970889e-07	2.22044604925031e-16	9	11	13	9	13	0	0	0	0	NA		 	BS_K07KNTFY	0.613641692158945	8.27276883231262e-08	6.04802946076043e-16	1	1
3	47767424	196809416	4	0	0	0	1	5	102	2	0.035110115675981	0.0700882072292549	NA	0	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	0.17576277261638	0	0	0
4	25328655	25329151	1	0	0	0	0	1	102	1	0.391625176271089	NA	NA	NA	NA	NA	4	4	4	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	NA	NA	0	0
5	692927	784280	1	0	0	0	0	1	102	1	0.391625176271089	0.668720450908864	NA	NA	NA	NA	6	6	6	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	0.738063840987673	NA	0	0
6	3156185	60660195	1	2	0	0	1	4	102	7	0.261464129949111	0.0600355585068951	NA	0.0216156589906831	5	5	5	5	5	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	0.160946672618286	0.022850356256974	0	0
7	48861586	48910643	0	0	0	1	0	1	102	1	0.391625176271089	0.391713087857632	NA	NA	NA	NA	11	11	11	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	0.513304857993251	NA	0	0
8	1235464	22451386	3	0	1	0	1	5	102	6	0.283886130759827	0.0508957937000793	NA	0.0305386534367624	2	2	6	2	2	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	0.147141778685864	0.0319703376931934	0	0
9	70146716	129591701	2	0	0	0	0	2	102	1	0.111610225094713	1	NA	NA	NA	NA	12	12	12	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	1	NA	0	0
10	19707588	49803042	3	0	0	0	2	5	102	4	0.035110115675981	0.0050302983793779	NA	2.9108937482647e-12	2	2	4	4	4	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	0.0292972097754376	5.52722059579144e-12	0	0
11	54349635	54416005	0	3	0	0	0	3	102	2	0.0292908865348883	1	NA	0	NA	NA	5	5	5	0	0	0	0	NA		 	BS_K07KNTFY	0.506002598703909	1	0	0	0
12	15360699	123016521	4	0	0	0	2	6	102	2	0.0100534444728365	0.00219493128448362	NA	8.18013588494981e-05	NA	NA	3	1	3	0	0	0	0	NA		 	BS_K07KNTFY	0.2969930268085	0.0158617280324292	0.000102517287389306	0	0
13	48959282	48962405	1	0	0	0	0	1	102	1	0.391625176271089	0.0534239765928094	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	0.15044547449725	NA	0	0
14	105999391	106142448	1	1	0	0	0	2	102	1	0.572406704470879	0.550119070993054	NA	NA	NA	NA	4	4	4	0	0	0	0	NA		 	BS_K07KNTFY	0.619631498714411	0.637121218961809	NA	0	0
15	37307822	37404200	0	1	0	0	0	1	102	1	0.391625176271089	0.505001746593193	NA	NA	NA	NA	10	10	10	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	0.603153800711434	NA	0	0
16	15926692	24617198	2	0	0	0	0	2	102	5	0.111610225094713	NA	NA	NA	3	3	10	10	10	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	NA	NA	0	0
17	17324421	62545554	3	0	1	0	0	4	102	6	0.111610225094713	0.496360964971107	NA	1.90194526794585e-11	4	4	4	4	4	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	0.595584158857237	3.47233521215519e-11	0	0
18	NA	NA	0	0	0	0	0	0	102	NA	NA	0.492989826873968	NA	NA	NA	NA	2	2	2	0	0	0	0	NA		 	BS_K07KNTFY	NA	0.592826607207467	NA	0	0
19	53704839	54308469	2	1	1	1	0	5	102	1	0.896432373341912	0.0863077198768023	NA	0	NA	NA	2	1	1	0	0	0	0	NA		 	BS_K07KNTFY	0.908903051159523	0.198462038422726	0	0	0
20	35128135	35129156	1	0	0	0	0	1	102	1	0.391625176271089	0.100331337586557	NA	NA	NA	NA	2	1	2	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	0.220131301148845	NA	0	0
21	36187062	36187296	1	0	0	0	0	1	102	1	0.391625176271089	0.26502771442947	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	0.408854546036036	NA	0	0
22	22707732	22765972	1	0	0	0	0	1	102	2	0.391625176271089	0.00316714126928176	NA	NA	NA	NA	3	3	3	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	0.0209334432453071	NA	0	0
X	82726771	131840712	1	0	1	0	0	2	102	NA	0.572406704470879	1	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_K07KNTFY	0.619631498714411	1	NA	0	0
1	8900398	202814551	3	1	1	1	3	9	102	13	0.549668182603777	0.000485236349522237	NA	8.11730729050053e-05	11	11	15	13	13	0	0	0	0	NA		 	BS_K07KNTFY	0.619631498714411	0.00477574722950833	0.000101777096514768	1	1
2	25918062	219191463	4	1	0	1	8	14	102	13	0.462520518296266	2.47740670914175e-09	2.63823713653188e-06	2.22044604925031e-16	9	11	13	9	13	0	0	0	0	NA		 	BS_K07KNTFY	0.613641692158945	8.27276883231262e-08	6.04802946076043e-16	1	1
3	47767424	196809416	4	0	0	0	1	5	102	2	0.035110115675981	0.0700882072292549	NA	1.11577413974828e-13	NA	NA	NA	NA	NA	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	0.17576277261638	2.25829342741562e-13	0	0
4	25328655	25329151	1	0	0	0	0	1	102	1	0.391625176271089	NA	NA	NA	NA	NA	4	4	4	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	NA	NA	0	0
5	692927	784280	1	0	0	0	0	1	102	1	0.391625176271089	0.668720450908864	NA	NA	NA	NA	6	6	6	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	0.738063840987673	NA	0	0
6	3156185	60660195	1	2	0	0	1	4	102	7	0.261464129949111	0.0600355585068951	NA	0.00582397932115375	5	5	5	5	5	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	0.160946672618286	0.00637875643524825	0	0
7	48861586	48910643	0	0	0	1	0	1	102	1	0.391625176271089	0.391713087857632	NA	NA	NA	NA	11	11	11	0	0	0	0	NA		 	BS_K07KNTFY	0.522568139124258	0.513304857993251	NA	0	0
